ID	FORM_ID	variant	variant_common_transcription	variant_common_segments	variant_ipa_segments
16	2	aäfoe(w)a(q)	a'afu(w)a(')	a ' a f u ( w ) a ( ' )	a ʔ a f u ( w ) a ( ʔ )
18	4	abaiekahaèq	abaikahaE'	a b a i k a h a E '	a b a i k a h a ɛ ʔ
19	5	abako(w)a	abako(w)a	a b a k o ( w ) a	a b a k o ( w ) a
19	5	abako(w)ĕ	abako(w)ė	a b a k o ( w ) ė	a b a k o ( w ) ə
460	8	wabèha	wabEha	w a b E h a	w a b ɛ h a
43	12	arèq	arE'	a r E '	a r ɛ ʔ
44	13	arie	ari	a r i	a r i
46	14	arieba	ariba	a r i b a	a r i b a
46	14	aliebĕ	alibė	a l i b ė	a l i b ə
45	15	arieba_hie_adoe(w)a	ariba_hi_adu(w)a	a r i b a _ h i _ a d u ( w ) a	a r i b a _ h i _ a d u ( w ) a
45	15	aliebĕ_hie_adoe(w)ĕ	alibė_hi_adu(w)ė	a l i b ė _ h i _ a d u ( w ) ė	a l i b ə _ h i _ a d u ( w ) ə
50	17	aroe(w)a	aru(w)a	a r u ( w ) a	a r u ( w ) a
50	17	adoe(w)ĕ	adu(w)ė	a d u ( w ) ė	a d u ( w ) ə
25	29	aèkoie	aEkoi	a E k o i	a ɛ k o i
26	30	aèkoie(j)aq	aEkoi(y)a'	a E k o i ( y ) a '	a ɛ k o i ( j ) a ʔ
31	32	akieäkienĕ	aki'akinė	a k i ' a k i n ė	a k i ʔ a k i n ə
32	33	akietaq	akita'	a k i t a '	a k i t a ʔ
28	36	akèhaäq	akEha'a'	a k E h a ' a '	a k ɛ h a ʔ a ʔ
29	37	akènaie	akEnai	a k E n a i	a k ɛ n a i
34	39	akoroe	akoru	a k o r u	a k o r u
73	41	èahèaqja	EahEa'ya	E a h E a ' y a	ɛ a h ɛ a ʔ j a
36	44	amoeno	amuno	a m u n o	a m u n o
36	44	moeno	muno	m u n o	m u n o
36	44	kĕno	kėno	k ė n o	k ə n o
36	44	koeno	kuno	k u n o	k u n o
35	46	amoeafĕ	amuafė	a m u a f ė	a m u a f ə
37	47	amoho	amoho	a m o h o	a m o h o
143	49	èkiena	Ekina	E k i n a	ɛ k i n a
143	49	èkienĕ	Ekinė	E k i n ė	ɛ k i n ə
462	51	waniemaie	wanimai	w a n i m a i	w a n i m a i
40	54	anoqoe	ano'u	a n o ' u	a n o ʔ u
39	58	anoqè(j)ĕ	ano'E(y)ė	a n o ' E ( y ) ė	a n o ʔ ɛ ( j ) ə
41	60	aoeloe	aulu	a u l u	a u l u
10	61	a(o)fa	a(o)fa	a ( o ) f a	a ( o ) f a
14	62	a(o)fahiea(o)fa	a(o)fahia(o)fa	a ( o ) f a h i a ( o ) f a	a ( o ) f a h i a ( o ) f a
52	69	aroekoe(w)o	aruku(w)o	a r u k u ( w ) o	a r u k u ( w ) o
53	70	aroekoe(w)o_è(a)karoba	aruku(w)o_E(a)karoba	a r u k u ( w ) o _ E ( a ) k a r o b a	a r u k u ( w ) o _ ɛ ( a ) k a r o b a
54	78	bahabaiebĕ	bahabaibė	b a h a b a i b ė	b a h a b a i b ə
55	80	baöadie	ba'oadi	b a ' o a d i	b a ʔ o a d i
56	84	bèdie	bEdi	b E d i	b ɛ d i
58	92	daiekahadie(j)ĕ	daikahadi(y)ė	d a i k a h a d i ( y ) ė	d a i k a h a d i ( j ) ə
59	96	die(j)ĕ	di(y)ė	d i ( y ) ė	d i ( j ) ə
184	105	èoä(h)ko	Eo'a(h)ko	E o ' a ( h ) k o	ɛ o ʔ a ( h ) k o
184	105	èaä(h)kĕ	Ea'a(h)kė	E a ' a ( h ) k ė	ɛ a ʔ a ( h ) k ə
184	105	èoähkĕ	Eo'ahkė	E o ' a h k ė	ɛ o ʔ a h k ə
416	106	moä(h)ko	mo'a(h)ko	m o ' a ( h ) k o	m o ʔ a ( h ) k o
416	106	maä(h)kĕ	ma'a(h)kė	m a ' a ( h ) k ė	m a ʔ a ( h ) k ə
416	106	moä(h)kĕ	mo'a(h)kė	m o ' a ( h ) k ė	m o ʔ a ( h ) k ə
65	114	èabarie(j)o	Eabari(y)o	E a b a r i ( y ) o	ɛ a b a r i ( j ) o
64	115	èabaoekietaie	Eabaukitai	E a b a u k i t a i	ɛ a b a u k i t a i
72	124	èahabaoedĕ	Eahabaudė	E a h a b a u d ė	ɛ a h a b a u d ə
74	129	èahèdie(j)ĕ	EahEdi(y)ė	E a h E d i ( y ) ė	ɛ a h ɛ d i ( j ) ə
75	130	èahoefoq	Eahufo'	E a h u f o '	ɛ a h u f o ʔ
76	131	èahofè	EahofE	E a h o f E	ɛ a h o f ɛ
77	133	èajĕ	Eayė	E a y ė	ɛ a j ə
102	155	èfaoe(w)okĕ	Efau(w)okė	E f a u ( w ) o k ė	ɛ f a u ( w ) o k ə
61	162	è(a)kadoba	E(a)kadoba	E ( a ) k a d o b a	ɛ ( a ) k a d o b a
79	170	èamèamè	EamEamE	E a m E a m E	ɛ a m ɛ a m ɛ
80	172	èanèkahoe(w)a	EanEkahu(w)a	E a n E k a h u ( w ) a	ɛ a n ɛ k a h u ( w ) a
81	173	èanieha	Eaniha	E a n i h a	ɛ a n i ç a
67	181	èafama	Eafama	E a f a m a	ɛ a f a m a
68	182	èafaq	Eafa'	E a f a '	ɛ a f a ʔ
66	183	èafala	Eafala	E a f a l a	ɛ a f a l a
69	184	èafĕ	Eafė	E a f ė	ɛ a f ə
70	185	èafoe	Eafu	E a f u	ɛ a f u
71	186	èafoe_èkoe(w)ĕ	Eafu_Eku(w)ė	E a f u _ E k u ( w ) ė	ɛ a f u _ ɛ k u ( w ) ə
172	193	èmanè	EmanE	E m a n E	ɛ m a n ɛ
9	195	(oe)kiaroboe	(u)kiarobu	( u ) k i a r o b u	( u ) k i a r o b u
27	198	afĕ	afė	a f ė	a f ə
294	199	kaära	ka'ara	k a ' a r a	k a ʔ a r a
82	201	èaraä(q)ko(w)ah	Eara'a(')ko(w)ah	E a r a ' a ( ' ) k o ( w ) a h	ɛ a r a ʔ a ( ʔ ) k o ( w ) a h
78	205	èalopa	Ealopa	E a l o p a	ɛ a l o p a
83	207	èatara	Eatara	E a t a r a	ɛ a t a r a
84	215	èbaka:_èoewĕ	Ebaka:_Euwė	E b a k a : _ E u w ė	ɛ b a k a : _ ɛ u w ə
391	217	kietaie	kitai	k i t a i	k i t a i
85	226	èboeèparaqwĕ	EbuEpara'wė	E b u E p a r a ' w ė	ɛ b u ɛ p a r a ʔ w ə
86	228	èboqaboqĕ	Ebo'abo'ė	E b o ' a b o ' ė	ɛ b o ʔ a b o ʔ ə
160	229	èlaba	Elaba	E l a b a	ɛ l a b a
230	230	ètaboeho	Etabuho	E t a b u h o	ɛ t a b u h o
230	230	ètafoehĕ	Etafuhė	E t a f u h ė	ɛ t a f u h ə
231	231	ètaboeho	Etabuho	E t a b u h o	ɛ t a b u h o
231	231	ètafoehĕ	Etafuhė	E t a f u h ė	ɛ t a f u h ə
144	237	èkietaie	Ekitai	E k i t a i	ɛ k i t a i
193	238	èoeloe	Eulu	E u l u	ɛ u l u
194	241	èoeloe	Eulu	E u l u	ɛ u l u
161	242	èlahajo	Elahayo	E l a h a y o	ɛ l a h a j o
163	243	èlahèboeäo	ElahEbu'ao	E l a h E b u ' a o	ɛ l a h ɛ b u ʔ a o
164	245	èlèabĕ	ElEabė	E l E a b ė	ɛ l ɛ a b ə
89	246	èdiehaoe	Edihau	E d i h a u	ɛ d i ç a u
227	248	èrieho	Eriho	E r i h o	ɛ r i ç o
87	249	èdèja	EdEya	E d E y a	ɛ d ɛ j a
165	250	èlie(j)ĕ	Eli(y)ė	E l i ( y ) ė	ɛ l i ( j ) ə
166	251	èlieie(j)ĕ	Elii(y)ė	E l i i ( y ) ė	ɛ l i i ( j ) ə
167	257	èloboe	Elobu	E l o b u	ɛ l o b u
168	258	èloboe_kanapoe(w)a	Elobu_kanapu(w)a	E l o b u _ k a n a p u ( w ) a	ɛ l o b u _ k a n a p u ( w ) a
90	259	èdorie	Edori	E d o r i	ɛ d o r i
228	260	èroehoekie(j)aq	Eruhuki(y)a'	E r u h u k i ( y ) a '	ɛ r u h u k i ( j ) a ʔ
183	261	ènohaie	Enohai	E n o h a i	ɛ n o h a i
88	262	èdĕhoie	Edėhoi	E d ė h o i	ɛ d ə h o i
88	262	èdjĕhoie	Ejėhoi	E j ė h o i	ɛ d͡ʒ ə h o i
342	263	kiedĕhoie	kidėhoi	k i d ė h o i	k i d ə h o i
342	263	kiedjĕhoie	kijėhoi	k i j ė h o i	k i d͡ʒ ə h o i
170	264	èlolèlolè	ElolElolE	E l o l E l o l E	ɛ l o l ɛ l o l ɛ
280	267	iedopo	idopo	i d o p o	i d o p o
280	267	ètofo	Etofo	E t o f o	ɛ t o f o
280	267	ietofo	itofo	i t o f o	i t o f o
229	268	èroforofo	Eroforofo	E r o f o r o f o	ɛ r o f o r o f o
171	269	èloro	Eloro	E l o r o	ɛ l o r o
93	272	èèlako	EElako	E E l a k o	ɛ ɛ l a k o
95	284	èènono:_oefĕ	EEnono:_ufė	E E n o n o : _ u f ė	ɛ ɛ n o n o : _ u f ə
430	285	oeèfĕ	uEfė	u E f ė	u ɛ f ə
96	286	èèolie	EEoli	E E o l i	ɛ ɛ o l i
97	287	èèolieoekoewĕ	EEoliukuwė	E E o l i u k u w ė	ɛ ɛ o l i u k u w ə
92	290	èèfĕ	EEfė	E E f ė	ɛ ɛ f ə
114	291	èhabarie(j)ĕ	Ehabari(y)ė	E h a b a r i ( y ) ė	ɛ h a b a r i ( j ) ə
117	294	èhaiefoe	Ehaifu	E h a i f u	ɛ h a i f u
116	299	èhaĕ	Ehaė	E h a ė	ɛ h a ə
118	302	èhèafo	EhEafo	E h E a f o	ɛ h ɛ a f o
119	304	èhèie(j)ĕ	EhEi(y)ė	E h E i ( y ) ė	ɛ h ɛ i ( j ) ə
115	306	èhaèkoe(q)	EhaEku(')	E h a E k u ( ' )	ɛ h a ɛ k u ( ʔ )
410	307	mahaèkoe(q)	mahaEku(')	m a h a E k u ( ' )	m a h a ɛ k u ( ʔ )
120	308	èhèkoe(q)wĕ	EhEku(')wė	E h E k u ( ' ) w ė	ɛ h ɛ k u ( ʔ ) w ə
123	317	èhöarie	Ehu̇ari	E h u̇ a r i	ɛ h ɨ a r i
411	318	mahöarie	mahu̇ari	m a h u̇ a r i	m a h ɨ a r i
122	320	èho(w)afĕ	Eho(w)afė	E h o ( w ) a f ė	ɛ h o ( w ) a f ə
91	335	èèdjie	EEji	E E j i	ɛ ɛ d͡ʒ i
91	335	èietjie	Eici	E i c i	ɛ i t͡ʃ i
24	336	aèdjie	aEji	a E j i	a ɛ d͡ʒ i
126	339	èieieoeloe	Eiiulu	E i i u l u	ɛ i i u l u
124	342	èie(j)obĕ	Ei(y)obė	E i ( y ) o b ė	ɛ i ( j ) o b ə
125	347	èiefĕ	Eifė	E i f ė	ɛ i f ə
38	356	aniemaie	animai	a n i m a i	a n i m a i
277	358	ie(j)araq	i(y)ara'	i ( y ) a r a '	i ( j ) a r a ʔ
278	359	ie(j)araq_noeha	i(y)ara'_nuha	i ( y ) a r a ' _ n u h a	i ( j ) a r a ʔ _ n u h a
135	369	èkaraha(q)	Ekaraha(')	E k a r a h a ( ' )	ɛ k a r a h a ( ʔ )
136	370	èkarieorie	Ekariori	E k a r i o r i	ɛ k a r i o r i
128	371	èkadieofè	EkadiofE	E k a d i o f E	ɛ k a d i o f ɛ
2	377	(è)kaèq	(E)kaE'	( E ) k a E '	( ɛ ) k a ɛ ʔ
129	388	èkaie(oe)lahoe(hoe)	Ekai(u)lahu(hu)	E k a i ( u ) l a h u ( h u )	ɛ k a i ( u ) l a h u ( h u )
129	388	èkaèdaho	EkaEdaho	E k a E d a h o	ɛ k a ɛ d a h o
129	388	èkaèlaho	EkaElaho	E k a E l a h o	ɛ k a ɛ l a h o
130	389	èkajoqfèdjie	Ekayo'fEji	E k a y o ' f E j i	ɛ k a j o ʔ f ɛ d͡ʒ i
131	390	èkakorèie(j)ĕ	EkakorEi(y)ė	E k a k o r E i ( y ) ė	ɛ k a k o r ɛ i ( j ) ə
127	398	èk(a)oeqfanoe	Ek(a)u'fanu	E k ( a ) u ' f a n u	ɛ k ( a ) u ʔ f a n u
134	399	èkaoe(w)ĕ	Ekau(w)ė	E k a u ( w ) ė	ɛ k a u ( w ) ə
139	405	èkĕlèpè	EkėlEpE	E k ė l E p E	ɛ k ə l ɛ p ɛ
139	405	èkalèpè	EkalEpE	E k a l E p E	ɛ k a l ɛ p ɛ
132	407	èkaliehĕ	Ekalihė	E k a l i h ė	ɛ k a l i ç ə
133	408	èkaliehĕ_oe(w)afĕ	Ekalihė_u(w)afė	E k a l i h ė _ u ( w ) a f ė	ɛ k a l i ç ə _ u ( w ) a f ə
137	411	èkèèfa	EkEEfa	E k E E f a	ɛ k ɛ ɛ f a
344	412	kieèèfa	kiEEfa	k i E E f a	k i ɛ ɛ f a
140	422	èkieafĕ	Ekiafė	E k i a f ė	ɛ k i a f ə
146	423	èkietapè(j)a	EkitapE(y)a	E k i t a p E ( y ) a	ɛ k i t a p ɛ ( j ) a
147	424	èkietiebèie(j)oq	EkitibEi(y)o'	E k i t i b E i ( y ) o '	ɛ k i t i b ɛ i ( j ) o ʔ
145	425	èkietaie	Ekitai	E k i t a i	ɛ k i t a i
145	425	èkiedaie	Ekidai	E k i d a i	ɛ k i d a i
138	435	èkèhèö(j)a	EkEhEu̇(y)a	E k E h E u̇ ( y ) a	ɛ k ɛ h ɛ ɨ ( j ) a
142	438	èkieie(j)ĕ	Ekii(y)ė	E k i i ( y ) ė	ɛ k i i ( j ) ə
157	455	èkorie(j)o	Ekori(y)o	E k o r i ( y ) o	ɛ k o r i ( j ) o
149	456	èkoedaäjo	Ekuda'ayo	E k u d a ' a y o	ɛ k u d a ʔ a j o
155	460	èkoha	Ekoha	E k o h a	ɛ k o h a
151	467	èkoepadĕ	Ekupadė	E k u p a d ė	ɛ k u p a d ə
148	470	èkoe(w)ĕ	Eku(w)ė	E k u ( w ) ė	ɛ k u ( w ) ə
156	479	èkoöq	Eko'o'	E k o ' o '	ɛ k o ʔ o ʔ
158	487	èkoropie(j)oèoeloe	Ekoropi(y)uulu	E k o r o p i ( y ) u u l u	ɛ k o r o p i ( j ) u u l u
152	489	èkoèèq	EkuE'	E k u E '	ɛ k u ɛ ʔ
153	490	èkoèèq	EkuE'	E k u E '	ɛ k u ɛ ʔ
276	492	ie(j)akafieta	i(y)akafita	i ( y ) a k a f i t a	i ( j ) a k a f i t a
435	494	oehoeqkoe(w)ĕ	uhu'ku(w)ė	u h u ' k u ( w ) ė	u h u ʔ k u ( w ) ə
154	496	èkoèèq	EkuE'	E k u E '	ɛ k u ɛ ʔ
159	497	èlaäfoe(w)a	Ela'afu(w)a	E l a ' a f u ( w ) a	ɛ l a ʔ a f u ( w ) a
162	498	èlahaoe	Elahau	E l a h a u	ɛ l a h a u
173	499	èmanè	EmanE	E m a n E	ɛ m a n ɛ
169	504	èloho	Eloho	E l o h o	ɛ l o h o
174	506	èmanè	EmanE	E m a n E	ɛ m a n ɛ
176	507	èmènahoe(w)a	EmEnahu(w)a	E m E n a h u ( w ) a	ɛ m ɛ n a h u ( w ) a
175	509	èmèaö	EmEa'o	E m E a ' o	ɛ m ɛ a ʔ o
177	514	èmoöie(j)ĕ	Emo'oi(y)ė	E m o ' o i ( y ) ė	ɛ m o ʔ o i ( j ) ə
178	516	ènaè(na):_oe(w)afĕ	EnaE(na):_u(w)afė	E n a E ( n a ) : _ u ( w ) a f ė	ɛ n a ɛ ( n a ) : _ u ( w ) a f ə
181	520	ènapĕ	Enapė	E n a p ė	ɛ n a p ə
179	521	ènafienafie	Enafinafi	E n a f i n a f i	ɛ n a f i n a f i
180	522	ènafienie	Enafini	E n a f i n i	ɛ n a f i n i
182	530	ènoĕ	Enoė	E n o ė	ɛ n o ə
205	537	èorie	Eori	E o r i	ɛ o r i
42	538	apieha_èoriedie(j)ĕ	apiha_Eoridi(y)ė	a p i h a _ E o r i d i ( y ) ė	a p i ç a _ ɛ o r i d i ( j ) ə
206	539	èorieaäq	Eoria'a'	E o r i a ' a '	ɛ o r i a ʔ a ʔ
57	540	borieaäq	boria'a'	b o r i a ' a '	b o r i a ʔ a ʔ
315	541	kahohoriaäq	kahohoria'a'	k a h o h o r i a ' a '	k a h o h o r i a ʔ a ʔ
207	542	èoriöka	Eori'oka	E o r i ' o k a	ɛ o r i ʔ o k a
208	546	èoroe	Eoru	E o r u	ɛ o r u
209	547	èorohèie	EorohEi	E o r o h E i	ɛ o r o h ɛ i
188	548	èoebĕ	Eubė	E u b ė	ɛ u b ə
189	549	èoebĕ:_èkaèn	Eubė:_EkaEn	E u b ė : _ E k a E n	ɛ u b ə : _ ɛ k a ɛ n
141	550	èkiearoboe	Ekiarobu	E k i a r o b u	ɛ k i a r o b u
185	551	èobo	Eobo	E o b o	ɛ o b o
334	553	kèèèfĕ	kEEEfė	k E E E f ė	k ɛ ɛ ɛ f ə
195	556	èoeloe	Eulu	E u l u	ɛ u l u
196	557	èoeloe_bèlo(w)a	Eulu_bElo(w)a	E u l u _ b E l o ( w ) a	ɛ u l u _ b ɛ l o ( w ) a
192	563	èoekoeriepo	Eukuripo	E u k u r i p o	ɛ u k u r i p o
197	569	èoemĕ	Eumė	E u m ė	ɛ u m ə
198	573	èoeoe(w)afĕ	Eu'u(w)afė	E u ' u ( w ) a f ė	ɛ u ʔ u ( w ) a f ə
190	575	èoefĕ	Eufė	E u f ė	ɛ u f ə
199	576	èoepoeie(j)ĕ	Eupui(y)ė	E u p u i ( y ) ė	ɛ u p u i ( j ) ə
200	577	èoepoeqoe(w)ĕ	Eupu'u(w)ė	E u p u ' u ( w ) ė	ɛ u p u ʔ u ( w ) ə
191	578	èoefoe(w)a	Eufu(w)a	E u f u ( w ) a	ɛ u f u ( w ) a
186	580	èoe(w)aè	Eu(w)aE	E u ( w ) a E	ɛ u ( w ) a ɛ
186	580	èè(w)aie	EE(w)ai	E E ( w ) a i	ɛ ɛ ( w ) a i
186	580	èè(w)aè	EE(w)aE	E E ( w ) a E	ɛ ɛ ( w ) a ɛ
187	582	èoe(w)afĕ	Eu(w)afė	E u ( w ) a f ė	ɛ u ( w ) a f ə
187	582	èè(w)apo	EE(w)apo	E E ( w ) a p o	ɛ ɛ ( w ) a p o
187	582	èèwafĕ	EEwafė	E E w a f ė	ɛ ɛ w a f ə
63	584	è(o)horaoekèèfa	E(o)horaukEEfa	E ( o ) h o r a u k E E f a	ɛ ( o ) h o r a u k ɛ ɛ f a
202	586	èokahaĕ	Eokahaė	E o k a h a ė	ɛ o k a h a ə
203	592	èokoehèoeloe	EokuhEulu	E o k u h E u l u	ɛ o k u h ɛ u l u
204	595	èokofie	Eokofi	E o k o f i	ɛ o k o f i
201	608	èofoe	Eofu	E o f u	ɛ o f u
98	622	èfaèfa	EfaEfa	E f a E f a	ɛ f a ɛ f a
94	625	èèlako	EElako	E E l a k o	ɛ ɛ l a k o
210	627	èpahoahoäq	Epahoaho'a'	E p a h o a h o ' a '	ɛ p a h o a h o ʔ a ʔ
99	633	èfakoehè	EfakuhE	E f a k u h E	ɛ f a k u h ɛ
211	635	èpak(a)(w)ĕ	Epak(a)(w)ė	E p a k ( a ) ( w ) ė	ɛ p a k ( a ) ( w ) ə
100	636	èfalè	EfalE	E f a l E	ɛ f a l ɛ
100	636	èparè	EparE	E p a r E	ɛ p a r ɛ
101	638	èfanoe	Efanu	E f a n u	ɛ f a n u
212	640	èpanĕma	Epanėma	E p a n ė m a	ɛ p a n ə m a
212	640	èfanĕma	Efanėma	E f a n ė m a	ɛ f a n ə m a
103	642	èfaofĕ	Efaofė	E f a o f ė	ɛ f a o f ə
104	643	èfaoqöqaie	Efao'u̇'ai	E f a o ' u̇ ' a i	ɛ f a o ʔ ɨ ʔ a i
105	645	èfèa	EfEa	E f E a	ɛ f ɛ a
213	649	èpèdoe(w)a(ö)	EpEdu(w)a('o)	E p E d u ( w ) a ( ' o )	ɛ p ɛ d u ( w ) a ( ʔ o )
213	649	èfèlo(w)a(ö)	EfElo(w)a('o)	E f E l o ( w ) a ( ' o )	ɛ f ɛ l o ( w ) a ( ʔ o )
106	650	èfèhè	EfEhE	E f E h E	ɛ f ɛ h ɛ
214	654	èpĕrhaoedie	Epėrhaudi	E p ė r h a u d i	ɛ p ə r h a u d i
215	657	èpieaoe(w)afĕ	Epiau(w)afė	E p i a u ( w ) a f ė	ɛ p i a u ( w ) a f ə
216	660	èpiedjoeafĕ	Epijuafė	E p i j u a f ė	ɛ p i d͡ʒ u a f ə
107	662	èfie(j)ĕ	Efi(y)ė	E f i ( y ) ė	ɛ f i ( j ) ə
108	663	èfie(j)ofie(j)ĕ	Efi(y)ofi(y)ė	E f i ( y ) o f i ( y ) ė	ɛ f i ( j ) o f i ( j ) ə
110	666	èfieniefie	Efinifi	E f i n i f i	ɛ f i n i f i
109	667	èfiefie	Efifi	E f i f i	ɛ f i f i
60	669	epoeaoe	epuau	e p u a u	e p u a u
220	671	èpoeroe	Epuru	E p u r u	ɛ p u r u
112	674	èfoekĕ	Efukė	E f u k ė	ɛ f u k ə
219	678	èpoe(oe)qoe:_oe(w)afĕ	Epu(u)'u:_u(w)afė	E p u ( u ) ' u : _ u ( w ) a f ė	ɛ p u ( u ) ʔ u : _ u ( w ) a f ə
221	680	èpoeroeroe(ie)	Epururu(i)	E p u r u r u ( i )	ɛ p u r u r u ( i )
223	681	èpoeroeroe(ie):_èoeloe	Epururu(i):_Eulu	E p u r u r u ( i ) : _ E u l u	ɛ p u r u r u ( i ) : _ ɛ u l u
222	683	èpoeroeroe(ie)	Epururu(i)	E p u r u r u ( i )	ɛ p u r u r u ( i )
224	684	èpoeroeroe(ie):_waniemaie	Epururu(i):_wanimai	E p u r u r u ( i ) : _ w a n i m a i	ɛ p u r u r u ( i ) : _ w a n i m a i
437	686	oekèoq	ukEo'	u k E o '	u k ɛ o ʔ
217	687	èpoe(ah)ha	Epu(ah)ha	E p u ( a h ) h a	ɛ p u ( a h ) h a
111	688	èfo(h)	Efo(h)	E f o ( h )	ɛ f o ( h )
113	690	èfoko	Efoko	E f o k o	ɛ f o k o
225	691	èponanamie	Eponanami	E p o n a n a m i	ɛ p o n a n a m i
218	692	èpoe(oe)kaha	Epu(u)kaha	E p u ( u ) k a h a	ɛ p u ( u ) k a h a
226	693	èpopoökie	Epopo'oki	E p o p o ' o k i	ɛ p o p o ʔ o k i
285	698	ietèbè	itEbE	i t E b E	i t ɛ b ɛ
232	699	èwakieföro	Ewakifu̇ro	E w a k i f u̇ r o	ɛ w a k i f ɨ r o
270	712	hèlapiehie	hElapihi	h E l a p i h i	h ɛ l a p i ç i
271	722	hobaäoe(w)ĕ	hoba'au(w)ė	h o b a ' a u ( w ) ė	h o b a ʔ a u ( w ) ə
428	724	obèèaĕ	obEEaė	o b E E a ė	o b ɛ ɛ a ə
275	728	horiekie	horiki	h o r i k i	h o r i k i
274	731	hokoä	hoko'a	h o k o ' a	h o k o ʔ a
272	739	hofaie	hofai	h o f a i	h o f a i
269	748	haie(j)aha	hai(y)aha	h a i ( y ) a h a	h a i ( j ) a h a
283	754	ienoie	inoi	i n o i	i n o i
281	760	iekoedaha	ikudaha	i k u d a h a	i k u d a h a
282	762	ienaou(w)ĕ	inaou(w)ė	i n a o u ( w ) ė	i n a o u ( w ) ə
413	763	manoenoeq	manunu'	m a n u n u '	m a n u n u ʔ
279	767	iedjo	ijo	i j o	i d͡ʒ o
287	772	kaä(ä)ou(w)ĕ	ka'a('a)ou(w)ė	k a ' a ( ' a ) o u ( w ) ė	k a ʔ a ( ʔ a ) o u ( w ) ə
295	773	kaärahĕaie	ka'arahėai	k a ' a r a h ė a i	k a ʔ a r a h ə a i
288	775	kaädoie(j)ĕ	ka'adoi(y)ė	k a ' a d o i ( y ) ė	k a ʔ a d o i ( j ) ə
288	775	kaäroie(j)ĕ	ka'aroi(y)ė	k a ' a r o i ( y ) ė	k a ʔ a r o i ( j ) ə
290	784	kaäkènè	ka'akEnE	k a ' a k E n E	k a ʔ a k ɛ n ɛ
290	784	kakanie(q)	kakani(')	k a k a n i ( ' )	k a k a n i ( ʔ )
291	785	kaäkieniefĕ	ka'akinifė	k a ' a k i n i f ė	k a ʔ a k i n i f ə
293	791	kaäpĕaäaq	ka'apėa'aa'	k a ' a p ė a ' a a '	k a ʔ a p ə a ʔ a a ʔ
289	792	kaäfoho	ka'afoho	k a ' a f o h o	k a ʔ a f o h o
296	795	kabĕhao	kabėhao	k a b ė h a o	k a b ə h a o
297	803	kaboe(w)ĕboe(w)ĕ	kabu(w)ėbu(w)ė	k a b u ( w ) ė b u ( w ) ė	k a b u ( w ) ə b u ( w ) ə
317	805	kalèalèa	kalEalEa	k a l E a l E a	k a l ɛ a l ɛ a
328	808	kariehie	karihi	k a r i h i	k a r i ç i
298	809	kadiekofĕ	kadikofė	k a d i k o f ė	k a d i k o f ə
305	824	kahafa	kahafa	k a h a f a	k a h a f a
314	825	kahoho	kahoho	k a h o h o	k a h o h o
