ID	FORM_ID	variant	variant_common_transcription	variant_common_segments	variant_ipa_segments
308	828	kahaienoeafĕ	kahainuafė	k a h a i n u a f ė	k a h a i n u a f ə
309	831	kahakoudĕ	kahakoudė	k a h a k o u d ė	k a h a k o u d ə
310	833	kahao:_èmanè	kahao:_EmanE	k a h a o : _ E m a n E	k a h a o : _ ɛ m a n ɛ
311	836	kahaokĕ	kahaokė	k a h a o k ė	k a h a o k ə
306	837	kahafaq	kahafa'	k a h a f a '	k a h a f a ʔ
307	838	kahafie	kahafi	k a h a f i	k a h a f i
121	842	èhèlo	EhElo	E h E l o	ɛ h ɛ l o
312	847	kahiefĕ	kahifė	k a h i f ė	k a h i f ə
313	849	kahoefĕhoefoö	kahufėhufo'o	k a h u f ė h u f o ' o	k a h u f ə h u f o ʔ o
316	854	kaie(j)ĕnono	kai(y)ėnono	k a i ( y ) ė n o n o	k a i ( j ) ə n o n o
455	861	pĕkakanaka	pėkakanaka	p ė k a k a n a k a	p ə k a k a n a k a
319	882	kamoefie	kamufi	k a m u f i	k a m u f i
412	890	manèko	manEko	m a n E k o	m a n ɛ k o
320	894	kanèfoe	kanEfu	k a n E f u	k a n ɛ f u
321	896	kaniehie(j)aniehie(j)a	kanihi(y)anihi(y)a	k a n i h i ( y ) a n i h i ( y ) a	k a n i ç i ( j ) a n i ç i ( j ) a
324	907	kaoedara	kaudara	k a u d a r a	k a u d a r a
326	908	kaoerahjĕ	kaurahyė	k a u r a h y ė	k a u r a h j ə
325	912	kaoefè(q)	kaufE(')	k a u f E ( ' )	k a u f ɛ ( ʔ )
323	913	kaoe(w)ĕ	kau(w)ė	k a u ( w ) ė	k a u ( w ) ə
292	917	kaäöbo	ka'au̇bo	k a ' a u̇ b o	k a ʔ a ɨ b o
327	918	kaoöèèdjie	kao'oEEji	k a o ' o E E j i	k a o ʔ o ɛ ɛ d͡ʒ i
300	921	kafal	kafal	k a f a l	k a f a l
301	922	kafàl_afi	kafal_afi	k a f a l _ a f i	k a f a l _ a f i
302	924	kafĕrafĕraba	kafėrafėraba	k a f ė r a f ė r a b a	k a f ə r a f ə r a b a
303	928	kafoekĕ	kafukė	k a f u k ė	k a f u k ə
304	931	kafofo	kafofo	k a f o f o	k a f o f o
337	932	kĕfofo	kėfofo	k ė f o f o	k ə f o f o
318	938	kaliepoliepo	kalipolipo	k a l i p o l i p o	k a l i p o l i p o
329	940	karohajĕ	karohayė	k a r o h a y ė	k a r o h a j ə
335	952	kèhorojo	kEhoroyo	k E h o r o y o	k ɛ h o r o j o
8	962	(è)kiadoboe	(E)kiadobu	( E ) k i a d o b u	( ɛ ) k i a d o b u
8	962	(è)kiaroboe	(E)kiarobu	( E ) k i a r o b u	( ɛ ) k i a r o b u
340	968	kiebèrieka	kibErika	k i b E r i k a	k i b ɛ r i k a
390	971	kietahoho	kitahoho	k i t a h o h o	k i t a h o h o
389	972	kietahaq	kitaha'	k i t a h a '	k i t a h a ʔ
387	977	kierèdèjaq	kirEdEya'	k i r E d E y a '	k i r ɛ d ɛ j a ʔ
387	977	kèdèdè(j)aq	kEdEdE(y)a'	k E d E d E ( y ) a '	k ɛ d ɛ d ɛ ( j ) a ʔ
387	977	kèrèdè(j)aq	kErEdE(y)a'	k E r E d E ( y ) a '	k ɛ r ɛ d ɛ ( j ) a ʔ
341	985	kiedaieie(j)aq	kidaii(y)a'	k i d a i i ( y ) a '	k i d a i i ( j ) a ʔ
392	990	kieto	kito	k i t o	k i t o
388	991	kierobieka	kirobika	k i r o b i k a	k i r o b i k a
343	993	kiedodo_èdjie	kidodo_Eji	k i d o d o _ E j i	k i d o d o _ ɛ d͡ʒ i
366	1000	kiehiema(na)èorie	kihima(na)Eori	k i h i m a ( n a ) E o r i	k i ç i m a ( n a ) ɛ o r i
367	1005	kieie(j)oèraha	kii(y)uraha	k i i ( y ) u r a h a	k i i ( j ) u r a h a
368	1006	kieiefĕ	kiifė	k i i f ė	k i i f ə
330	1009	kè(j)abaq	kE(y)aba'	k E ( y ) a b a '	k ɛ ( j ) a b a ʔ
332	1010	kè(j)abaq_iekèo	kE(y)aba'_ikEo	k E ( y ) a b a ' _ i k E o	k ɛ ( j ) a b a ʔ _ i k ɛ o
338	1013	kie(j)oenanĕ	ki(y)unanė	k i ( y ) u n a n ė	k i ( j ) u n a n ə
339	1014	kie(j)oèroha	ki(y)uroha	k i ( y ) u r o h a	k i ( j ) u r o h a
333	1015	kè(j)oha	kE(y)oha	k E ( y ) o h a	k ɛ ( j ) o h a
369	1029	kiekè(è)o(w)a	kikE(E)o(w)a	k i k E ( E ) o ( w ) a	k i k ɛ ( ɛ ) o ( w ) a
370	1032	kiekèfoqoe(w)ĕ	kikEfo'u(w)ė	k i k E f o ' u ( w ) ė	k i k ɛ f o ʔ u ( w ) ə
371	1034	kiekie(j)ĕ	kiki(y)ė	k i k i ( y ) ė	k i k i ( j ) ə
372	1039	kiekoekoe(q)ĕ	kikuku(')ė	k i k u k u ( ' ) ė	k i k u k u ( ʔ ) ə
408	1043	kokonienie	kokonini	k o k o n i n i	k o k o n i n i
373	1054	kienanafĕ	kinanafė	k i n a n a f ė	k i n a n a f ə
374	1062	kienono:_è(j)ĕ	kinono:_E(y)ė	k i n o n o : _ E ( y ) ė	k i n o n o : _ ɛ ( j ) ə
62	1063	è(j)adie(j)ĕ	E(y)adi(y)ė	E ( y ) a d i ( y ) ė	ɛ ( j ) a d i ( j ) ə
375	1066	kienoqè(j)ĕ	kino'E(y)ė	k i n o ' E ( y ) ė	k i n o ʔ ɛ ( j ) ə
378	1067	kieorèa	kiorEa	k i o r E a	k i o r ɛ a
376	1070	kieokahè	kiokahE	k i o k a h E	k i o k a h ɛ
377	1071	kieoniekĕ	kionikė	k i o n i k ė	k i o n i k ə
345	1077	kiefa(a)oeq	kifa(a)u'	k i f a ( a ) u '	k i f a ( a ) u ʔ
379	1078	kiepadieoeièdjie	kipadiuiji	k i p a d i u i j i	k i p a d i u i d͡ʒ i
352	1079	kiefahoe(w)a	kifahu(w)a	k i f a h u ( w ) a	k i f a h u ( w ) a
353	1083	kiefakiefa_fahoeoenaq	kifakifa_fahu'una'	k i f a k i f a _ f a h u ' u n a '	k i f a k i f a _ f a h u ʔ u n a ʔ
380	1087	kiepakoekoe	kipakuku	k i p a k u k u	k i p a k u k u
381	1088	kiepakoekoekie	kipakukuki	k i p a k u k u k i	k i p a k u k u k i
354	1090	kiefamĕ	kifamė	k i f a m ė	k i f a m ə
351	1092	kiefafakoe	kifafaku	k i f a f a k u	k i f a f a k u
355	1093	kiefaqaq	kifa'a'	k i f a ' a '	k i f a ʔ a ʔ
382	1094	kieparaèbahoe(q)	kiparaEbahu(')	k i p a r a E b a h u ( ' )	k i p a r a ɛ b a h u ( ʔ )
383	1098	kieparaèdie(j)oq	kiparaEdi(y)o'	k i p a r a E d i ( y ) o '	k i p a r a ɛ d i ( j ) o ʔ
383	1098	kiefalaiedie(j)oq	kifalaidi(y)o'	k i f a l a i d i ( y ) o '	k i f a l a i d i ( j ) o ʔ
357	1099	kiefĕhaie	kifėhai	k i f ė h a i	k i f ə h a i
357	1099	kiepoehaie	kipuhai	k i p u h a i	k i p u h a i
357	1099	kiefoehaie	kifuhai	k i f u h a i	k i f u h a i
358	1101	kiefĕhodĕ	kifėhodė	k i f ė h o d ė	k i f ə h o d ə
356	1102	kiefèoraq	kifEora'	k i f E o r a '	k i f ɛ o r a ʔ
359	1103	kiefiefie	kififi	k i f i f i	k i f i f i
384	1105	kiepoe(w)araq	kipu(w)ara'	k i p u ( w ) a r a '	k i p u ( w ) a r a ʔ
385	1106	kiepoerieka	kipurika	k i p u r i k a	k i p u r i k a
361	1107	kiefoefoe	kifufu	k i f u f u	k i f u f u
362	1108	kiefoeoedĕ	kifu'udė	k i f u ' u d ė	k i f u ʔ u d ə
360	1109	kiefoe(w)a	kifu(w)a	k i f u ( w ) a	k i f u ( w ) a
360	1109	kiepö(w)a	kipu̇(w)a	k i p u̇ ( w ) a	k i p ɨ ( w ) a
360	1109	kiefö(w)a	kifu̇(w)a	k i f u̇ ( w ) a	k i f ɨ ( w ) a
364	1111	kiefokana	kifokana	k i f o k a n a	k i f o k a n a
365	1112	kiefokiefo	kifokifo	k i f o k i f o	k i f o k i f o
363	1114	kiefofoä	kifofo'a	k i f o f o ' a	k i f o f o ʔ a
386	1116	kieqjĕ	ki'yė	k i ' y ė	k i ʔ j ə
409	1117	koq(a)hajo	ko'(a)hayo	k o ' ( a ) h a y o	k o ʔ ( a ) h a j o
393	1118	koahie(j)ĕ	koahi(y)ė	k o a h i ( y ) ė	k o a h i ( j ) ə
394	1119	koahie(j)ĕ_kafoe	koahi(y)ė_kafu	k o a h i ( y ) ė _ k a f u	k o a h i ( j ) ə _ k a f u
395	1123	koeana	kuana	k u a n a	k u a n a
286	1128	ietofo	itofo	i t o f o	i t o f o
150	1130	èkoedodoka	Ekudodoka	E k u d o d o k a	ɛ k u d o d o k a
150	1130	koedoroka	kudoroka	k u d o r o k a	k u d o r o k a
401	1131	koeroe	kuru	k u r u	k u r u
404	1133	kohèdie	kohEdi	k o h E d i	k o h ɛ d i
404	1133	koehèlie	kuhEli	k u h E l i	k u h ɛ l i
404	1133	kohèlie	kohEli	k o h E l i	k o h ɛ l i
396	1134	koehèlie(j)aq	kuhEli(y)a'	k u h E l i ( y ) a '	k u h ɛ l i ( j ) a ʔ
397	1136	koeie_kaliehĕ	kui_kalihė	k u i _ k a l i h ė	k u i _ k a l i ç ə
398	1138	koeienanaq	kuinana'	k u i n a n a '	k u i n a n a ʔ
398	1138	koienaq	koina'	k o i n a '	k o i n a ʔ
398	1138	koenènaq,_koenanaq	kunEna',_kunana'	k u n E n a ' , _ k u n a n a '	k u n ɛ n a ʔ , _ k u n a n a ʔ
400	1142	koemènoeĕ	kumEnuė	k u m E n u ė	k u m ɛ n u ə
399	1146	koelipo	kulipo	k u l i p o	k u l i p o
405	1150	kohofaie	kohofai	k o h o f a i	k o h o f a i
406	1151	kohofie(j)ĕ	kohofi(y)ė	k o h o f i ( y ) ė	k o h o f i ( j ) ə
406	1151	kopopoie(j)ĕ_(?)	kopopoi(y)ė_(?)	k o p o p o i ( y ) ė _ ( ? )	k o p o p o i ( j ) ə _ ( ? )
407	1156	kokonĕ	kokonė	k o k o n ė	k o k o n ə
402	1167	kofo	kofo	k o f o	k o f o
403	1168	koforieqie	kofori'i	k o f o r i ' i	k o f o r i ʔ i
299	1169	kadoqö_(?)	kado'u̇_(?)	k a d o ' u̇ _ ( ? )	k a d o ʔ ɨ _ ( ? )
418	1175	mohona(q)	mohona(')	m o h o n a ( ' )	m o h o n a ( ʔ )
418	1175	ahiemahona(q)	ahimahona(')	a h i m a h o n a ( ' )	a h i m a h o n a ( ʔ )
420	1177	monokie	monoki	m o n o k i	m o n o k i
415	1180	mienaoe(w)afĕ	minau(w)afė	m i n a u ( w ) a f ė	m i n a u ( w ) a f ə
414	1181	mienaoe(w)aè	minau(w)aE	m i n a u ( w ) a E	m i n a u ( w ) a ɛ
417	1185	mohomohoienoe	mohomohoinu	m o h o m o h o i n u	m o h o m o h o i n u
439	1186	omokie	omoki	o m o k i	o m o k i
419	1188	moko_èorie_die(j)ĕ	moko_Eori_di(y)ė	m o k o _ E o r i _ d i ( y ) ė	m o k o _ ɛ o r i _ d i ( j ) ə
421	1191	naäfoe(w)aka(q)	na'afu(w)aka(')	n a ' a f u ( w ) a k a ( ' )	n a ʔ a f u ( w ) a k a ( ʔ )
422	1192	naähapè	na'ahapE	n a ' a h a p E	n a ʔ a h a p ɛ
422	1192	naäpè	na'apE	n a ' a p E	n a ʔ a p ɛ
422	1192	naèhafè	naEhafE	n a E h a f E	n a ɛ h a f ɛ
422	1192	noähafè	no'ahafE	n o ' a h a f E	n o ʔ a h a f ɛ
422	1192	naäfè	na'afE	n a ' a f E	n a ʔ a f ɛ
423	1196	nafonaq	nafona'	n a f o n a '	n a f o n a ʔ
424	1199	nèènè	nEEnE	n E E n E	n ɛ ɛ n ɛ
425	1201	nie(j)ĕ	ni(y)ė	n i ( y ) ė	n i ( j ) ə
426	1202	nie(j)oöhienieĕ	ni(y)o'ohiniė	n i ( y ) o ' o h i n i ė	n i ( j ) o ʔ o h i n i ə
322	1203	kanoaha	kanoaha	k a n o a h a	k a n o a h a
427	1206	nonohoie	nonohoi	n o n o h o i	n o n o h o i
441	1215	orokie	oroki	o r o k i	o r o k i
436	1218	oekèèfa	ukEEfa	u k E E f a	u k ɛ ɛ f a
438	1219	oekietofè	ukitofE	u k i t o f E	u k i t o f ɛ
442	1224	öoebie	u̇ubi	u̇ u b i	ɨ u b i
431	1226	oefanie	ufani	u f a n i	u f a n i
432	1227	oefè	ufE	u f E	u f ɛ
433	1228	oefĕhöjaäq	ufėhu̇ya'a'	u f ė h u̇ y a ' a '	u f ə h ɨ j a ʔ a ʔ
434	1229	oefoena(ie)	ufuna(i)	u f u n a ( i )	u f u n a ( i )
429	1230	oe(w)ĕ	u(w)ė	u ( w ) ė	u ( w ) ə
440	1238	oörokie	o'oroki	o ' o r o k i	o ʔ o r o k i
234	1244	faämahaie	fa'amahai	f a ' a m a h a i	f a ʔ a m a h a i
235	1246	faboedajaq	fabudaya'	f a b u d a y a '	f a b u d a j a ʔ
236	1247	faböha	fabu̇ha	f a b u̇ h a	f a b ɨ h a
237	1248	fadahèboe(w)ĕ	fadahEbu(w)ė	f a d a h E b u ( w ) ė	f a d a h ɛ b u ( w ) ə
260	1250	fariehoie(j)aqä	farihoi(y)a'a	f a r i h o i ( y ) a ' a	f a r i ç o i ( j ) a ʔ a
260	1250	faliehoie(j)aqä	falihoi(y)a'a	f a l i h o i ( y ) a ' a	f a l i ç o i ( j ) a ʔ a
259	1251	fariehofie	farihofi	f a r i h o f i	f a r i ç o f i
261	1252	fariekaä	farika'a	f a r i k a ' a	f a r i k a ʔ a
443	1255	paèloha	paEloha	p a E l o h a	p a ɛ l o h a
444	1260	pahabie(j)aq	pahabi(y)a'	p a h a b i ( y ) a '	p a h a b i ( j ) a ʔ
233	1262	fa(ha)böhaq	fa(ha)bu̇ha'	f a ( h a ) b u̇ h a '	f a ( h a ) b ɨ h a ʔ
241	1264	fahaloho	fahaloho	f a h a l o h o	f a h a l o h o
241	1264	fahaloho_èkiedjaie(j)oe	fahaloho_Ekijai(y)u	f a h a l o h o _ E k i j a i ( y ) u	f a h a l o h o _ ɛ k i d͡ʒ a i ( j ) u
445	1267	pahakie(j)o	pahaki(y)o	p a h a k i ( y ) o	p a h a k i ( j ) o
240	1271	fahafoeè(q)	fahafuE(')	f a h a f u E ( ' )	f a h a f u ɛ ( ʔ )
242	1272	fahjĕ	fahyė	f a h y ė	f a h j ə
243	1274	fahoehoeroe	fahuhuru	f a h u h u r u	f a h u h u r u
244	1279	faienènèaq	fainEnEa'	f a i n E n E a '	f a i n ɛ n ɛ a ʔ
454	1280	pĕkahadè	pėkahadE	p ė k a h a d E	p ə k a h a d ɛ
454	1280	pakahalè	pakahalE	p a k a h a l E	p a k a h a l ɛ
454	1280	pĕkahalè	pėkahalE	p ė k a h a l E	p ə k a h a l ɛ
245	1281	fakahofĕ	fakahofė	f a k a h o f ė	f a k a h o f ə
246	1283	fakarahaq	fakaraha'	f a k a r a h a '	f a k a r a h a ʔ
247	1286	fakèrie(j)a	fakEri(y)a	f a k E r i ( y ) a	f a k ɛ r i ( j ) a
446	1290	pakieofĕ	pakiofė	p a k i o f ė	p a k i o f ə
249	1292	fakoehè	fakuhE	f a k u h E	f a k u h ɛ
447	1293	pakoehè(j)aq	pakuhE(y)a'	p a k u h E ( y ) a '	p a k u h ɛ ( j ) a ʔ
250	1294	fakoehö(j)aq	fakuhu̇(y)a'	f a k u h u̇ ( y ) a '	f a k u h ɨ ( j ) a ʔ
336	1297	kèo_pakoenaq_aèkietaieboe	kEo_pakuna'_aEkitaibu	k E o _ p a k u n a ' _ a E k i t a i b u	k ɛ o _ p a k u n a ʔ _ a ɛ k i t a i b u
448	1299	pakoeqäq	paku'a'	p a k u ' a '	p a k u ʔ a ʔ
248	1300	fakoefèq	fakufE'	f a k u f E '	f a k u f ɛ ʔ
449	1305	pamahaoma	pamahaoma	p a m a h a o m a	p a m a h a o m a
284	1306	iepamahona	ipamahona	i p a m a h o n a	i p a m a h o n a
252	1308	fana(h)	fana(h)	f a n a ( h )	f a n a ( h )
253	1309	fanako	fanako	f a n a k o	f a n a k o
253	1309	pĕnĕko	pėnėko	p ė n ė k o	p ə n ə k o
253	1309	fĕnĕko	fėnėko	f ė n ė k o	f ə n ə k o
254	1310	fanakonĕ	fanakonė	f a n a k o n ė	f a n a k o n ə
331	1311	kè(j)abaq_fanakonĕ	kE(y)aba'_fanakonė	k E ( y ) a b a ' _ f a n a k o n ė	k ɛ ( j ) a b a ʔ _ f a n a k o n ə
255	1312	fanakonĕäq	fanakonė'a'	f a n a k o n ė ' a '	f a n a k o n ə ʔ a ʔ
256	1313	fanaoe	fanau	f a n a u	f a n a u
257	1315	fanè	fanE	f a n E	f a n ɛ
273	1316	hofanè	hofanE	h o f a n E	h o f a n ɛ
450	1318	panèha(q)	panEha(')	p a n E h a ( ' )	p a n ɛ h a ( ʔ )
451	1321	paoe(w)ĕ	pau(w)ė	p a u ( w ) ė	p a u ( w ) ə
258	1323	faofajaäq	faofaya'a'	f a o f a y a ' a '	f a o f a j a ʔ a ʔ
238	1325	fafa	fafa	f a f a	f a f a
239	1327	fafèĕ	fafEė	f a f E ė	f a f ɛ ə
452	1329	papoeroe	papuru	p a p u r u	p a p u r u
251	1334	faliehoie(j)aqä	falihoi(y)a'a	f a l i h o i ( y ) a ' a	f a l i ç o i ( j ) a ʔ a
262	1336	farieqö	fari'u̇	f a r i ' u̇	f a r i ʔ ɨ
263	1337	faroefèie	farufEi	f a r u f E i	f a r u f ɛ i
264	1340	faroriefo	farorifo	f a r o r i f o	f a r o r i f o
453	1341	pèè	pEE	p E E	p ɛ ɛ
453	1341	aboepè	abupE	a b u p E	a b u p ɛ
265	1343	fè(j)aha	fE(y)aha	f E ( y ) a h a	f ɛ ( j ) a h a
457	1346	pĕnjako	pėñako	p ė ñ a k o	p ə ɲ a k o
457	1346	fènjako	fEñako	f E ñ a k o	f ɛ ɲ a k o
457	1346	fĕnjako	fėñako	f ė ñ a k o	f ə ɲ a k o
266	1347	fènohie(j)o	fEnohi(y)o	f E n o h i ( y ) o	f ɛ n o h i ( j ) o
267	1348	fiehie	fihi	f i h i	f i ç i
456	1353	pĕnahaäq	pėnaha'a'	p ė n a h a ' a '	p ə n a h a ʔ a ʔ
459	1360	poepoeroe	pupuru	p u p u r u	p u p u r u
459	1360	foefoeroe	fufuru	f u f u r u	f u f u r u
458	1362	poelieho	puliho	p u l i h o	p u l i ç o
458	1362	foeliehĕ	fulihė	f u l i h ė	f u l i ç ə
268	1367	foforo	foforo	f o f o r o	f o f o r o
461	1373	wakieförö	wakifu̇ru̇	w a k i f u̇ r u̇	w a k i f ɨ r ɨ
3	1374	(è)kaèq	(E)kaE'	( E ) k a E '	( ɛ ) k a ɛ ʔ
51	1375	aroe(w)a	aru(w)a	a r u ( w ) a	a r u ( w ) a
51	1375	adoe(w)ĕ	adu(w)ė	a d u ( w ) ė	a d u ( w ) ə
11	1377	a(o)fa	a(o)fa	a ( o ) f a	a ( o ) f a
47	1378	arieba	ariba	a r i b a	a r i b a
47	1378	aliebĕ	alibė	a l i b ė	a l i b ə
30	1379	akieakienĕ	akiakinė	a k i a k i n ė	a k i a k i n ə
12	1383	a(o)fa_hie_a(o)fa	a(o)fa_hi_a(o)fa	a ( o ) f a _ h i _ a ( o ) f a	a ( o ) f a _ h i _ a ( o ) f a
17	1384	abaiekaèq	abaikaE'	a b a i k a E '	a b a i k a ɛ ʔ
346	1385	kiefa(a)oeq	kifa(a)u'	k i f a ( a ) u '	k i f a ( a ) u ʔ
347	1386	kiefa(a)oeq_hie_(è)kaèq	kifa(a)u'_hi_(E)kaE'	k i f a ( a ) u ' _ h i _ ( E ) k a E '	k i f a ( a ) u ʔ _ h i _ ( ɛ ) k a ɛ ʔ
348	1387	kiefa(a)oeq_hie_adoe(w)a	kifa(a)u'_hi_adu(w)a	k i f a ( a ) u ' _ h i _ a d u ( w ) a	k i f a ( a ) u ʔ _ h i _ a d u ( w ) a
350	1388	kiefa(a)oeq_hie_aroe(w)a	kifa(a)u'_hi_aru(w)a	k i f a ( a ) u ' _ h i _ a r u ( w ) a	k i f a ( a ) u ʔ _ h i _ a r u ( w ) a
349	1389	kiefa(a)oeq_hie_adoe(w)ĕ	kifa(a)u'_hi_adu(w)ė	k i f a ( a ) u ' _ h i _ a d u ( w ) ė	k i f a ( a ) u ʔ _ h i _ a d u ( w ) ə
5	1390	(è)kaèq_taka	(E)kaE'_taka	( E ) k a E ' _ t a k a	( ɛ ) k a ɛ ʔ _ t a k a
6	1391	(è)kaèq_taka_hie_(è)kaèq	(E)kaE'_taka_hi_(E)kaE'	( E ) k a E ' _ t a k a _ h i _ ( E ) k a E '	( ɛ ) k a ɛ ʔ _ t a k a _ h i _ ( ɛ ) k a ɛ ʔ
1	1392	(è)kaeq_taka_hie_kiefa(a)oeq	(E)kae'_taka_hi_kifa(a)u'	( E ) k a e ' _ t a k a _ h i _ k i f a ( a ) u '	( ɛ ) k a e ʔ _ t a k a _ h i _ k i f a ( a ) u ʔ
7	1393	(è)kaèq_taka_hie_kiefa(a)oeq,_hie_(è)kaèq	(E)kaE'_taka_hi_kifa(a)u',_hi_(E)kaE'	( E ) k a E ' _ t a k a _ h i _ k i f a ( a ) u ' , _ h i _ ( E ) k a E '	( ɛ ) k a ɛ ʔ _ t a k a _ h i _ k i f a ( a ) u ʔ , _ h i _ ( ɛ ) k a ɛ ʔ
20	1397	adoe(w)a_taka_hie_(è)kaèq	adu(w)a_taka_hi_(E)kaE'	a d u ( w ) a _ t a k a _ h i _ ( E ) k a E '	a d u ( w ) a _ t a k a _ h i _ ( ɛ ) k a ɛ ʔ
48	1398	aroe(w)a_taka_hie_(è)kaèq	aru(w)a_taka_hi_(E)kaE'	a r u ( w ) a _ t a k a _ h i _ ( E ) k a E '	a r u ( w ) a _ t a k a _ h i _ ( ɛ ) k a ɛ ʔ
22	1399	adoe(w)ĕ_taka_hie_(è)kaèq	adu(w)ė_taka_hi_(E)kaE'	a d u ( w ) ė _ t a k a _ h i _ ( E ) k a E '	a d u ( w ) ə _ t a k a _ h i _ ( ɛ ) k a ɛ ʔ
21	1400	adoe(w)a_taka_hie_kiefa(a)oeq	adu(w)a_taka_hi_kifa(a)u'	a d u ( w ) a _ t a k a _ h i _ k i f a ( a ) u '	a d u ( w ) a _ t a k a _ h i _ k i f a ( a ) u ʔ
49	1401	aroe(w)a_taka_hie_kiefa(a)oeq	aru(w)a_taka_hi_kifa(a)u'	a r u ( w ) a _ t a k a _ h i _ k i f a ( a ) u '	a r u ( w ) a _ t a k a _ h i _ k i f a ( a ) u ʔ
23	1402	adoe(w)ĕ_taka_hie_kiefa(a)oeq	adu(w)ė_taka_hi_kifa(a)u'	a d u ( w ) ė _ t a k a _ h i _ k i f a ( a ) u '	a d u ( w ) ə _ t a k a _ h i _ k i f a ( a ) u ʔ
33	1404	akoloe_taka_hie_kiefa(a)oeq	akolu_taka_hi_kifa(a)u'	a k o l u _ t a k a _ h i _ k i f a ( a ) u '	a k o l u _ t a k a _ h i _ k i f a ( a ) u ʔ
15	1407	a(o)pa_taka_hie_kiefa(a)oeq	a(o)pa_taka_hi_kifa(a)u'	a ( o ) p a _ t a k a _ h i _ k i f a ( a ) u '	a ( o ) p a _ t a k a _ h i _ k i f a ( a ) u ʔ
13	1408	a(o)fa_taka_hie_kiefa(a)oeq	a(o)fa_taka_hi_kifa(a)u'	a ( o ) f a _ t a k a _ h i _ k i f a ( a ) u '	a ( o ) f a _ t a k a _ h i _ k i f a ( a ) u ʔ
4	1414	(è)kaèq_koedoroka	(E)kaE'_kudoroka	( E ) k a E ' _ k u d o r o k a	( ɛ ) k a ɛ ʔ _ k u d o r o k a
